complex_id	complex_name	synonyms	organism	cell_line	pmid	comment_complex	comment_members	comment_disease	comment_drug	comment_drug_formal	subunits_uniprot_id	subunits_gene_name	subunits_gene_name_synonyms	subunits_protein_name	subunits_proteinname_synonyms	subunits_organism	subunits_drugs	subunits_mims	subunits_stoechiometrie	purification_methods	functions_evi	functions_pmid	functions_go_id	functions_go_name	functions_go_ontology	fcgs_description	fcgs_id	fcgs_name	fcgs_category_id	fcgs_category_name	fcgs_go_id	fcgs_go_name	fcgs_go_ontology
27	Arp2/3 protein complex	ARP2/3 protein complex	Human	Neutrophils	9359840			Transcript levels of ARP2/3 complex subunits, and of nucleation promotion factors that regulate the ARP2/3 complex, were significantly lower in DLPFC layer 3 and 5 pyramidal cells in schizophrenia. In contrast, these transcripts were unaltered, or only modestly changed, in parvalbumin interneurons and DLPFC gray matter (PMID:27523502)			P61160;P61158;O15143;O15144;O15145;P59998;O15511	ACTR2;ACTR3;ARPC1B;ARPC2;ARPC3;ARPC4;ARPC5	ARP2;ARP3;ARC41;ARC34;ARC21;ARC20;ARC16	Actin-related protein 2;Actin-related protein 3;Actin-related protein 2/3 complex subunit 1B;Actin-related protein 2/3 complex subunit 2;Actin-related protein 2/3 complex subunit 3;Actin-related protein 2/3 complex subunit 4;Actin-related protein 2/3 complex subunit 5	Actin-like protein 2; ;Actin-like protein 3; ;Arp2/3 complex 41 kDa subunit; p41-ARC; ;p34-ARC;p21-ARC;p20-ARC;p16-ARC	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		617718;620141;620565	;;;;;;	MI:0027:cosedimentation;MI:0071:molecular sieving	pred;lit	9359840;32354995	GO:0005885;GO:0030833	Arp2/3 protein complex;regulation of actin filament polymerization	cellular_component;biological_process								
29	PA28gamma complex		Human		9325261		According to gel filtration chromatography experiments, the protein complex probably consists of seven identical subunits.				P61289	PSME3		Proteasome activator complex subunit 3	PA28gamma	Homo sapiens (Human)			7	MI:0071:molecular sieving;MI:0226:ion exchange chromatography	exp;exp;exp	9325261;9325261;9325261	GO:0005515;GO:0016504;GO:0043161	protein binding;peptidase activator activity;proteasome-mediated ubiquitin-dependent protein catabolic process	molecular_function;molecular_function;biological_process								
30	PA28 complex	 11S REG	Human		9325261	PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.					Q06323;Q9UL46	PSME1;PSME2	IFI5111;	Proteasome activator complex subunit 1;Proteasome activator complex subunit 2	PA28alpha;PA28beta	Homo sapiens (Human);Homo sapiens (Human)			;	MI:0071:molecular sieving;MI:0226:ion exchange chromatography	exp;htp;exp;exp;exp;exp	9325261;16130169;9325261;9325261;9325261;9325261	GO:0005515;GO:0005737;GO:0006511;GO:0016504;GO:0043161;GO:0051098	protein binding;cytoplasm;ubiquitin-dependent protein catabolic process;peptidase activator activity;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of binding	molecular_function;cellular_component;biological_process;molecular_function;biological_process;biological_process								
32	PA700 complex	19S complex	Human		9148964	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.					P62191;P35998;P17980;P43686;P62195;P62333;Q99460;O75832;O00231;O00232;Q9UNM6;O00487;Q13200;O43242;P55036;Q16401;Q15008;P51665;P48556;O00233	PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9	;MSS1;TBP1;MIP224,TBP7;SUG1;SUG2;;;;;;POH1;TRAP2;;MCB1;KIAA0072;KIAA0107,PFAAP4;MOV34L;;	26S proteasome regulatory subunit 4;26S proteasome regulatory subunit 7;26S proteasome regulatory subunit 6A;26S proteasome regulatory subunit 6B;26S proteasome regulatory subunit 8;26S proteasome regulatory subunit 10B;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 10;26S proteasome non-ATPase regulatory subunit 11;26S proteasome non-ATPase regulatory subunit 12;26S proteasome non-ATPase regulatory subunit 13;26S proteasome non-ATPase regulatory subunit 14;26S proteasome non-ATPase regulatory subunit 2;26S proteasome non-ATPase regulatory subunit 3;26S proteasome non-ATPase regulatory subunit 4;26S proteasome non-ATPase regulatory subunit 5;26S proteasome non-ATPase regulatory subunit 6;26S proteasome non-ATPase regulatory subunit 7;26S proteasome non-ATPase regulatory subunit 8;26S proteasome non-ATPase regulatory subunit 9	P26s4; Proteasome 26S subunit ATPase 1; ;Proteasome 26S subunit ATPase 2; Protein MSS1; ;TBP-1;TBP-7;TRIP1;Proteasome 26S subunit ATPase 6; Proteasome subunit p42; ;26S proteasome regulatory subunit RPN2; 26S proteasome regulatory subunit S1; 26S proteasome subunit p112; ;26S proteasome regulatory subunit p28; Gankyrin; ;26S proteasome regulatory subunit S9; 26S proteasome regulatory subunit p44.5; ;26S proteasome regulatory subunit p55; ;26S proteasome regulatory subunit S11; 26S proteasome regulatory subunit p40.5; ;26S proteasome regulatory subunit rpn11; 26S proteasome-associated PAD1 homolog 1; ;26S proteasome regulatory subunit RPN1; 26S proteasome regulatory subunit S2; 26S proteasome subunit p97; Tumor necrosis factor type 1 receptor-associated protein 2; 55.11 protein; ;26S proteasome regulatory subunit S3;ASF;26S proteasome subunit S5B; 26S protease subunit S5 basic; ;26S proteasome regulatory subunit S10; p42A; Proteasome regulatory particle subunit p44S10; Phosphonoformate immuno-associated protein 4; Breast cancer-associated protein SGA-113M; ;26S proteasome regulatory subunit rpn8; 26S proteasome regulatory subunit S12; Proteasome subunit p40; Mov34 protein homolog; ;26S proteasome regulatory subunit S14; p31; ;26S proteasome regulatory subunit p27; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		620071;619354;617516	;;;;;;;;;;;;;;;;;;;	MI:0071:molecular sieving;MI:0226:ion exchange chromatography	lit;lit;lit	10363641;10363641;10363641	GO:0005515;GO:0016504;GO:0043161	protein binding;peptidase activator activity;proteasome-mediated ubiquitin-dependent protein catabolic process	molecular_function;molecular_function;biological_process								
36	AP1 adaptor complex		Human	293 cells	9733768	This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.					Q10567;O43747;O75843;Q9BXS5;Q9Y6Q5;P61966;P56377;Q96PC3	AP1B1;AP1G1;AP1G2;AP1M1;AP1M2;AP1S1;AP1S2;AP1S3	ADTB1,BAM22,CLAPB2;ADTG,CLAPG1;;CLTNM;;AP19,CLAPS1;;	AP-1 complex subunit beta-1;AP-1 complex subunit gamma-1;AP-1 complex subunit gamma-like 2;AP-1 complex subunit mu-1;AP-1 complex subunit mu-2;AP-1 complex subunit sigma-1A;AP-1 complex subunit sigma-2;AP-1 complex subunit sigma-3	Adapter-related protein complex 1 subunit beta-1; Adaptor protein complex AP-1 subunit beta-1; Beta-adaptin 1; Beta1-adaptin; Golgi adaptor HA1/AP1 adaptin beta subunit; Clathrin assembly protein complex 1 beta large chain; ;Adapter-related protein complex 1 subunit gamma-1; Adaptor protein complex AP-1 subunit gamma-1; Golgi adaptor HA1/AP1 adaptin subunit gamma-1; Gamma1-adaptin; Clathrin assembly protein complex 1 gamma-1 large chain; ;G2ad;Adaptor-related protein complex 1 mu-1 subunit; Adaptor protein complex AP-1 mu-1 subunit; Golgi adaptor HA1/AP1 adaptin mu-1 subunit; Mu-adaptin 1; AP-mu chain family member mu1A; Mu1A-adaptin; Clathrin assembly protein complex 1 medium chain 1; Clathrin coat assembly protein AP47; Clathrin coat-associated protein AP47; ;Adaptor-related protein complex 1 mu-2 subunit; Adaptor protein complex AP-1 mu-2 subunit; Golgi adaptor HA1/AP1 adaptin mu-2 subunit; Mu-adaptin 2; AP-mu chain family member mu1B; Mu1B-adaptin; Clathrin assembly protein complex 1 medium chain 2; ;Adapter-related protein complex 1 sigma-1A subunit; Adaptor protein complex AP-1 sigma-1A subunit; Sigma-adaptin 1A; Sigma1A-adaptin; Golgi adaptor HA1/AP1 adaptin sigma-1A subunit; HA1 19 kDa subunit; Clathrin assembly protein complex 1 sigma-1A small chain; Clathrin coat assembly protein AP19; Sigma 1a subunit of AP-1 clathrin; ;Adapter-related protein complex 1 sigma-1B subunit; Adaptor protein complex AP-1 sigma-1B subunit; Sigma-adaptin 1B; Sigma1B-adaptin; Golgi adaptor HA1/AP1 adaptin sigma-1B subunit; Clathrin assembly protein complex 1 sigma-1B small chain; Sigma 1B subunit of AP-1 clathrin; ;Adapter-related protein complex 1 sigma-1C subunit; Adaptor protein complex AP-1 sigma-1C subunit; Sigma-adaptin 1C; Sigma1C-adaptin; Golgi adaptor HA1/AP1 adaptin sigma-1C subunit; Clathrin assembly protein complex 1 sigma-1C small chain; Sigma 1C subunit of AP-1 clathrin; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		242150;619467;619548;609313;304340;616106	;;;;;;;	MI:0018:two hybrid	exp;exp;exp;exp;exp;exp;exp;exp	12589051;12589051;12589051;12589051;12589051;12589051;12589051;12589051	GO:0006605;GO:0006886;GO:0006897;GO:0006900;GO:0015031;GO:0016050;GO:0016192;GO:0030133	protein targeting;intracellular protein transport;endocytosis;vesicle budding from membrane;protein transport;vesicle organization;vesicle-mediated transport;transport vesicle	biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process;cellular_component		16	Vesicle-mediated transport	1	Transport	GO:0016192	vesicle-mediated transport	biological_process
49	DNMT3B complex		Human	HeLa cells	15148359			The DNA methyltransferase DNMT3B is frequently overexpressed in tumor cells and is mutated in immunodeficiency, centromere instability and facial anomalies (ICF) syndrome.			Q9UBC3;Q13547;O95239;Q96ST3;O60264;O95347;Q9NTJ3	DNMT3B;HDAC1;KIF4A;SIN3A;SMARCA5;SMC2;SMC4	;RPD3L1;KIF4;;SNF2H,WCRF135;CAPE,SMC2L1;CAPC,SMC4L1	DNA (cytosine-5)-methyltransferase 3B;Histone deacetylase 1;Chromosome-associated kinesin KIF4A;Paired amphipathic helix protein Sin3a;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Structural maintenance of chromosomes protein 2;Structural maintenance of chromosomes protein 4	;HD1;Chromokinesin-A;Transcriptional corepressor Sin3a; Histone deacetylase complex subunit Sin3a; ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5;hCAP-E;hCAP-C	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	romidepsin;vorinostat;panobinostat;belinostat;tucidinostat	242860;619478;300923;313490;613406	;;;;;;	MI:0019:coimmunoprecipitation	lit;lit;exp;lit;lit;lit;lit	15148359;15148359;15148359;15148359;15148359;15148359;15148359	GO:0000278;GO:0000279;GO:0005694;GO:0006265;GO:0007059;GO:0009008;GO:0051276	mitotic cell cycle;M phase;chromosome;DNA topological change;chromosome segregation;DNA-methyltransferase activity;chromosome organization	biological_process;biological_process;cellular_component;biological_process;biological_process;molecular_function;biological_process								
50	RAB5A-RABEP1-RABGEF complex	RAB5-RABAPTIN5–RABEX5 complex	Human	HeLa cells	9323142	The Rab5-binding protein, Rabex-5, forms a tight physical complex with Rabaptin-5, and this complex is required for both the homotypic and heterotypic endosome fusion.					P20339;Q15276;Q9UJ41	RAB5A;RABEP1;RABGEF1	RAB5;RAB5EP,RABPT5,RABPT5A;RABEX5	Ras-related protein Rab-5A;Rab GTPase-binding effector protein 1;Rab5 GDP/GTP exchange factor	;Rabaptin-5; Rabaptin-5alpha; Rabaptin-4; Renal carcinoma antigen NY-REN-17; ;Rabex-5; Rabaptin-5-associated exchange factor for Rab5; RAP1; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0091:chromatography technology;MI:0096:pull down	exp;exp;lit	9323142;9323142;9323142	GO:0006897;GO:0034058;GO:0061025	endocytosis;endosomal vesicle fusion;membrane fusion	biological_process;biological_process;biological_process								
55	HDAC4-ERK1 complex		Human		11114188	ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation).					P56524;P27361	HDAC4;MAPK3	KIAA0288;ERK1,PRKM3	Histone deacetylase 4;Mitogen-activated protein kinase 3	HD4;ERK-1	Homo sapiens (Human);Homo sapiens (Human)	romidepsin;panobinostat;belinostat	619797	;	MI:0007:anti tag coimmunoprecipitation	exp;lit;exp;lit;lit;lit	11114188;11114188;11114188;11114188;11114188;11114188	GO:0000165;GO:0005634;GO:0006265;GO:0006355;GO:0051276;GO:2001141	MAPK cascade;nucleus;DNA topological change;regulation of DNA-templated transcription;chromosome organization;regulation of RNA biosynthetic process	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process								
57	HDAC4-ERK2 complex		Human		11114188						P56524;P28482	HDAC4;MAPK1	KIAA0288;ERK2,PRKM1,PRKM2	Histone deacetylase 4;Mitogen-activated protein kinase 1	HD4;ERK-2	Homo sapiens (Human);Homo sapiens (Human)	romidepsin;panobinostat;belinostat	619797;619087	;	MI:0007:anti tag coimmunoprecipitation	exp;lit;exp;lit;lit;lit	11114188;11114188;11114188;11114188;11114188;11114188	GO:0000165;GO:0005634;GO:0006265;GO:0006355;GO:0051276;GO:2001141	MAPK cascade;nucleus;DNA topological change;regulation of DNA-templated transcription;chromosome organization;regulation of RNA biosynthetic process	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process								
58	SMRT complex	NCOR2 complex	Human	HeLa nuclear extract	12628926	Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. IR10, a subunit of the N-CoR complex, does not associate with SMRT (NCOR2).					Q13227;O15379;Q9Y618;O60907;Q9BZK7	GPS2;HDAC3;NCOR2;TBL1X;TBL1XR1	;;CTG26;TBL1;IRA1,TBLR1	G protein pathway suppressor 2;Histone deacetylase 3;Nuclear receptor corepressor 2;F-box-like/WD repeat-containing protein TBL1X;F-box-like/WD repeat-containing protein TBL1XR1	Protein GPS2;HD3;N-CoR2;Transducin beta-like protein 1X; Transducin-beta-like protein 1, X-linked; SMAP55; ;Transducin beta-like 1X-related protein 1; Nuclear receptor corepressor/HDAC3 complex subunit TBLR1; TBL1-related protein 1; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	romidepsin;vorinostat;panobinostat;belinostat;tucidinostat	301033;602342;616944	;;;;	MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation;MI:0069:mass spectrometry studies of complexes;MI:0096:pull down	lit;lit;lit;lit;exp;lit	12628926;12628926;12628926;12628926;12628926;12628926	GO:0005634;GO:0006265;GO:0006473;GO:0006476;GO:0045892;GO:0051276	nucleus;DNA topological change;protein acetylation;protein deacetylation;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process								
